price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea,error,error_decile,abs_error_decile,relative_error
42000,5850,3,1,two,yes,no,yes,no,no,1,no,24843.00084,9,3,0.59150002
38500,4000,2,1,one,yes,no,no,no,no,0,no,9906.152479,7,1,0.257302662
49500,3060,3,1,one,yes,no,no,no,no,0,no,-6130.927401,6,0,-0.123857119
60500,6650,3,1,two,yes,yes,no,no,no,0,no,-466.8868817,6,0,-0.007717139
61000,6360,2,1,one,yes,no,no,no,no,0,no,-6532.058033,6,0,-0.107082919
66000,4160,3,1,one,yes,yes,yes,no,yes,0,no,-1027.689952,6,0,-0.01557106
66000,3880,3,2,two,yes,no,yes,no,no,2,no,4513.460245,7,0,0.068385761
69000,4160,3,1,three,yes,no,no,no,no,0,no,-9791.781487,6,1,-0.141909877
83800,4800,3,1,one,yes,yes,yes,no,no,0,no,-26300.71799,4,3,-0.31385105
88500,5500,3,2,four,yes,yes,no,no,yes,1,no,13517.41159,8,1,0.152739114
90000,7200,3,2,one,yes,no,yes,no,yes,3,no,1972.923877,7,0,0.021921376
30500,3000,2,1,one,no,no,no,no,no,0,no,5189.154064,7,0,0.170136199
27000,1700,3,1,two,yes,no,no,no,no,0,no,7451.838905,7,0,0.275994034
36000,2880,3,1,one,no,no,no,no,no,0,no,1675.856987,7,0,0.046551583
37000,3600,2,1,one,yes,no,no,no,no,0,no,11014.9995,7,1,0.297702689
37900,3185,2,1,one,yes,no,no,no,yes,0,no,4778.544998,7,0,0.126082981
40500,3300,3,1,two,no,no,no,no,no,1,no,2460.197795,7,0,0.060745625
40750,5200,4,1,three,yes,no,no,no,no,0,no,12736.02071,8,1,0.312540385
45000,3450,1,1,one,yes,no,no,no,no,0,no,-4363.859273,6,0,-0.096974651
45000,3986,2,2,one,no,yes,yes,no,no,1,no,13274.93111,8,1,0.294998469
48500,4785,3,1,two,yes,yes,yes,no,yes,1,no,29387.75168,9,3,0.605933024
