price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea,prediction,error,error_decile,abs_error_decile,relative_error
42000.0,5850,3,1,two,yes,no,yes,no,no,1,no,63331.14994135307,21331.14994135307,8,2,0.5078845224131683
38500.0,4000,2,1,one,yes,no,no,no,no,0,no,43386.30505158617,4886.305051586169,7,0,0.12691701432691346
49500.0,3060,3,1,one,yes,no,no,no,no,0,no,41994.986786316585,-7505.0132136834145,6,0,-0.1516164285592609
60500.0,6650,3,1,two,yes,yes,no,no,no,0,no,63707.96613124905,3207.96613124905,7,0,0.05302423357436446
61000.0,6360,2,1,one,yes,no,no,no,no,0,no,51627.58167335915,-9372.41832664085,5,1,-0.1536462020760795
66000.0,4160,3,1,one,yes,yes,yes,no,yes,0,no,67534.73950346008,1534.7395034600777,6,0,0.023253628840304207
66000.0,3880,3,2,two,yes,no,yes,no,no,2,no,74160.56563456025,8160.565634560247,7,1,0.12364493385697345
69000.0,4160,3,1,three,yes,no,no,no,no,0,no,56259.28344399843,-12740.716556001571,5,1,-0.18464806602900827
83800.0,4800,3,1,one,yes,yes,yes,no,no,0,no,56617.33854701245,-27182.66145298755,4,3,-0.32437543499985144
88500.0,5500,3,2,four,yes,yes,no,no,yes,1,no,106180.6312599316,17680.6312599316,8,2,0.19978114418001808
90000.0,7200,3,2,one,yes,no,yes,no,yes,3,no,97681.2860935595,7681.2860935594945,7,0,0.08534762326177216
30500.0,3000,2,1,one,no,no,no,no,no,0,no,32860.103290190935,2360.103290190935,6,0,0.07738043574396508
27000.0,1700,3,1,two,yes,no,no,no,no,0,no,41728.73189917297,14728.73189917297,8,1,0.5455085888582581
36000.0,2880,3,1,one,no,no,no,no,no,0,no,34332.27944435095,-1667.7205556490517,6,0,-0.04632557099025143
37000.0,3600,2,1,one,yes,no,no,no,no,0,no,41989.47850552295,4989.478505522951,7,0,0.13485077041953922
37900.0,3185,2,1,one,yes,no,no,no,yes,0,no,53692.594394131134,15792.594394131134,8,2,0.41669114496388215
40500.0,3300,3,1,two,no,no,no,no,no,1,no,43539.59475318575,3039.594753185753,7,0,0.07505172230088278
40750.0,5200,4,1,three,yes,no,no,no,no,0,no,61782.25658174176,21032.256581741764,8,2,0.5161289958709635
45000.0,3450,1,1,one,yes,no,no,no,no,0,no,39574.44443277028,-5425.55556722972,6,0,-0.12056790149399377
