price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea,error_1,error_decile_1,abs_error_decile_1,relative_error_1,prediction,error,error_decile,abs_error_decile,relative_error
42000.0,5850,3,1,two,yes,no,yes,no,no,1,no,21331.14994135307,8,2,0.5078845224131683,43657.087946658336,1657.0879466583356,5,0,0.039454474920436564
38500.0,4000,2,1,one,yes,no,no,no,no,0,no,4886.305051586169,7,0,0.12691701432691346,40392.37892187264,1892.3789218726379,5,0,0.04915269926941917
49500.0,3060,3,1,one,yes,no,no,no,no,0,no,-7505.0132136834145,6,0,-0.1516164285592609,51544.23747865528,2044.2374786552828,5,0,0.04129772684152087
60500.0,6650,3,1,two,yes,yes,no,no,no,0,no,3207.96613124905,7,0,0.05302423357436446,64039.0893653081,3539.0893653081002,5,1,0.058497344881125624
61000.0,6360,2,1,one,yes,no,no,no,no,0,no,-9372.41832664085,5,1,-0.1536462020760795,64860.310117518806,3860.310117518806,5,1,0.06328377241834107
66000.0,4160,3,1,one,yes,yes,yes,no,yes,0,no,1534.7395034600777,6,0,0.023253628840304207,65028.83280996001,-971.1671900399888,4,0,-0.014714654394545284
66000.0,3880,3,2,two,yes,no,yes,no,no,2,no,8160.565634560247,7,1,0.12364493385697345,63115.67384609821,-2884.3261539017913,3,1,-0.04370191142275441
69000.0,4160,3,1,three,yes,no,no,no,no,0,no,-12740.716556001571,5,1,-0.18464806602900827,68482.1050936099,-517.8949063900945,4,0,-0.007505723281015863
83800.0,4800,3,1,one,yes,yes,yes,no,no,0,no,-27182.66145298755,4,3,-0.32437543499985144,81265.89695749032,-2534.1030425096833,4,1,-0.03023989310870744
88500.0,5500,3,2,four,yes,yes,no,no,yes,1,no,17680.6312599316,8,2,0.19978114418001808,89960.87456990524,1460.8745699052379,5,0,0.016507057287064836
90000.0,7200,3,2,one,yes,no,yes,no,yes,3,no,7681.2860935594945,7,0,0.08534762326177216,87337.81723364392,-2662.1827663560834,4,1,-0.029579808515067595
30500.0,3000,2,1,one,no,no,no,no,no,0,no,2360.103290190935,6,0,0.07738043574396508,32545.46337725014,2045.4633772501402,5,0,0.06706437302459475
27000.0,1700,3,1,two,yes,no,no,no,no,0,no,14728.73189917297,8,1,0.5455085888582581,29322.161524585357,2322.1615245853573,5,1,0.08600598239205026
36000.0,2880,3,1,one,no,no,no,no,no,0,no,-1667.7205556490517,6,0,-0.04632557099025143,36282.79342236644,282.7934223664415,4,0,0.007855372843512265
37000.0,3600,2,1,one,yes,no,no,no,no,0,no,4989.478505522951,7,0,0.13485077041953922,39119.6716538886,2119.671653888603,5,0,0.057288423078070354
37900.0,3185,2,1,one,yes,no,no,no,yes,0,no,15792.594394131134,8,2,0.41669114496388215,39044.06703595562,1144.067035955617,4,0,0.03018646532864425
40500.0,3300,3,1,two,no,no,no,no,no,1,no,3039.594753185753,7,0,0.07505172230088278,41127.887717113896,627.8877171138956,4,0,0.015503400422565324
40750.0,5200,4,1,three,yes,no,no,no,no,0,no,21032.256581741764,8,2,0.5161289958709635,41916.677465853645,1166.6774658536451,4,0,0.028630121861439144
45000.0,3450,1,1,one,yes,no,no,no,no,0,no,-5425.55556722972,6,0,-0.12056790149399377,45314.456303663595,314.45630366359546,4,0,0.006987917859191011
45000.0,3986,2,2,one,no,yes,yes,no,no,1,no,17558.223444126168,8,2,0.3901827432028037,45658.822328485774,658.822328485774,4,0,0.014640496188572757
48500.0,4785,3,1,two,yes,yes,yes,no,yes,1,no,28957.92841715229,9,3,0.5970706890134493,49013.83149105481,513.831491054807,4,0,0.010594463733088803
65900.0,4510,4,2,two,yes,no,yes,no,no,0,no,5836.407430594583,7,0,0.08856460440962949,66146.51781734878,246.51781734878023,4,0,0.003740786302712902
37900.0,4000,3,1,two,yes,no,no,no,yes,0,no,25012.807969185247,8,3,0.6599685479996108,40575.1418719327,2675.1418719326975,5,1,0.0705842182567994
38000.0,3934,2,1,one,yes,no,no,no,no,0,no,5155.828671485739,7,0,0.13567970188120365,39119.6716538886,1119.671653888603,4,0,0.02946504352338429
42000.0,4960,2,1,one,yes,no,no,no,no,0,no,4738.688762137892,7,0,0.11282592290804505,42648.77138020854,648.7713802085418,4,0,0.0154469376240129
42300.0,3000,2,1,two,yes,no,no,no,no,0,no,2077.194055899454,6,0,0.049106242456251864,43894.92591367863,1594.9259136786277,5,0,0.03770510434228434
43500.0,3800,2,1,one,yes,no,no,no,no,0,no,-812.1082214454364,6,0,-0.01866915451598704,44541.40608928986,1041.4060892898633,4,0,0.023940369868732488
44000.0,4960,2,1,one,yes,no,yes,no,yes,0,no,19743.662753063785,8,2,0.44871960802417693,46216.33241225481,2216.3324122548074,5,1,0.05037119118760926
44500.0,3000,3,1,one,no,no,no,no,yes,0,no,3403.6508383186883,7,0,0.0764865356925548,43594.2101069038,-905.7898930961965,4,0,-0.020354829058341493
44900.0,4500,3,1,two,yes,no,no,no,yes,0,no,19758.841151764267,8,2,0.440063277322144,43938.62563559303,-961.3743644069691,4,0,-0.021411455777438065
45000.0,3500,2,1,one,no,no,yes,no,no,0,no,-6541.21296645292,6,0,-0.14536028814339821,44683.84292517852,-316.1570748214799,4,0,-0.007025712773810665
48000.0,3500,4,1,two,yes,no,no,no,yes,2,no,21573.383036579384,8,2,0.4494454799287372,50071.14809265319,2071.1480926531876,5,0,0.04314891859694141
49000.0,4000,2,1,one,yes,no,no,no,no,0,no,-5613.694948413831,6,0,-0.1145652030288537,47404.73500819649,-1595.2649918035095,4,0,-0.03255642840415326
51500.0,4500,2,1,one,yes,no,no,no,no,0,no,-6367.661765834811,6,0,-0.12364391778320022,49969.85391487981,-1530.1460851201919,4,0,-0.02971157446835324
61000.0,6360,2,1,two,yes,no,no,no,no,0,no,-4889.462957169519,6,0,-0.08015513044540194,65345.09354865075,4345.0935486507515,5,1,0.07123104178115985
61000.0,4500,2,1,one,yes,no,no,no,yes,2,no,3800.045796308157,7,0,0.06229583272636323,54906.592854574475,-6093.4071454255245,3,2,-0.09989192041681187
61700.0,4032,2,1,one,yes,no,yes,no,no,0,no,-14349.298263951656,5,1,-0.2325656120575633,59928.49322919291,-1771.5067708070928,4,0,-0.02871161703090912
67000.0,5170,3,1,four,yes,no,no,no,yes,0,no,15625.957202317164,8,2,0.2332232418256293,67773.02703527697,773.027035276973,4,0,0.011537716944432433
82000.0,5400,4,2,two,yes,no,no,no,yes,2,no,8659.403496951098,7,1,0.10560248167013533,83560.45211963767,1560.4521196376736,5,0,0.01902990389802041
54500.0,3150,2,2,one,no,no,yes,no,no,0,no,-2812.341827686818,6,0,-0.05160260234287739,60096.94494985608,5596.944949856079,6,2,0.10269623761203814
66500.0,3745,3,1,two,yes,no,yes,no,no,0,no,-13777.341823301715,5,1,-0.20717807253085285,65754.37968164767,-745.6203183523321,4,0,-0.011212335614320784
